ID,Nombre,Dirección,Descripción,Puntuación,Usuarios que puntuaron,Ciudad,Departamento,Teléfono,Sitio Web,Búsqueda,Categoría
9bdc69d1-e052-4771-9955-866743bb8643,Lácteos Betania SA,Cra. 65 #75-51,Supermercado,"4,3",(81),Medellín,Antioquia,(604) 4423381,N/A,"Lacteos, Antioquia, Medellín",Lácteos
af259194-aa6c-4782-a802-dd368e2cd1ea,DISTRIBUIDORA DE QUESOS LA 65,43618384,Quesería,"4,2",(52),Medellín,Antioquia,43618384,N/A,"Lacteos, Antioquia, Medellín",Otros
fc4d7572-fe7b-4de9-9347-2762000eed9b,Cárnicos y lácteos Carlos E. Restrepo,Cl. 53A #64 A - 11,Supermercado,"4,3",(56),Medellín,Antioquia,42305628,N/A,"Lacteos, Antioquia, Medellín",Lácteos
623708db-d4d3-494d-b28e-415f1206ddc3,Lácteos y Congelados Ideal S.A.S,4445825,N/A,"5,0",(1),Medellín,Antioquia,4445825,N/A,"Lacteos, Antioquia, Medellín",Lácteos
679e3b67-416d-48e2-8649-1d12f1a8a3bd,Parmalat-Proleche,Cl. 72 #64-105,Explotación lechera,"4,5",(244),Medellín,Antioquia,4412121,N/A,"Lacteos, Antioquia, Medellín",Otros
702d4442-dd71-40a9-937b-03fb70b0baaa,El Cacique,42575792,Quesería,"4,3",(111),Medellín,Antioquia,42575792,N/A,"Lacteos, Antioquia, Medellín",Otros
3efd6a38-50cc-43e0-a6d7-8cbeaac47748,Lácteos El Galán,Cra. 65,Proveedor de lácteos,"4,1",(21),Medellín,Antioquia,(604) 3221400,N/A,"Lacteos, Antioquia, Medellín",Lácteos
462713a7-57d7-4d67-80a6-0ff072e5cad0,Lácteos el corral campesino,314 8213338,N/A,"3,7",(13),Medellín,Antioquia,314 8213338,N/A,"Lacteos, Antioquia, Medellín",Lácteos
f6f16c74-adce-42f1-8ee4-68ab069f7c63,Antioqueña De Quesos,324 7804513,Quesería,"4,8",(17),Medellín,Antioquia,324 7804513,N/A,"Lacteos, Antioquia, Medellín",Otros
d88f111d-7f8f-44c5-b67f-131eb6db0f14,Lácteos Niza,Abierto ⋅ Cierra a las 8:30 p. m.,N/A,"4,5",(60),Medellín,Antioquia,N/A,N/A,"Lacteos, Antioquia, Medellín",Lácteos
e0cc9075-c298-4ade-878a-be1820e15769,Antioqueña de Quesos S.A.S,San Antionio de Prado-Heliconia,Quesería,"4,4",(323),Medellín,Antioquia,(604) 2862694,N/A,"Lacteos, Antioquia, Medellín",Otros
2ab703a6-e7a4-4314-9f22-6273737bbd22,Lacteos La María,Tienda de alimentación,N/A,"4,3",(8),Bello,Antioquia,44678203,N/A,"Lacteos, Antioquia, Bello",Otros
7c800279-97fe-420a-bc45-8f35a5a768c3,Lacteos y Cárnicos Mi Vaquita,(604) 3585845,Mercado,"5,0",(1),Bello,Antioquia,(604) 3585845,https://colanta.com/,"Lacteos, Antioquia, Bello",Cárnicos
8b89061c-2e93-404a-a4cd-05874c718ec8,Lacteos Y Carnicos Barrio Nuevo Colanta,Abierto ⋅ Cierra a las 8 p. m.,Carnicería,"3,9",(11),Bello,Antioquia,N/A,N/A,"Lacteos, Antioquia, Bello",Otros
a5a235ae-4210-4c8b-9760-07e861b3ae7c,Lácteos el tigre,311 7574909,N/A,"4,6",(9),Bello,Antioquia,311 7574909,N/A,"Lacteos, Antioquia, Bello",Lácteos
3258f6b2-7466-41c0-9389-8f45399883d6,Lácteos Del Monte,313 2389941,Distribuidor de comestibles,"5,0",(24),Bello,Antioquia,313 2389941,N/A,"Lacteos, Antioquia, Bello",Lácteos
