ID,Nombre,Dirección,Descripción,Puntuación,Usuarios que puntuaron,Ciudad,Departamento,Teléfono,Sitio Web,Búsqueda,Categoría
310ce167-3192-4e7d-b6b7-2951e955e30e,Lácteos Betania SA,Cra. 65 #75-51,Supermercado,"4,3",(81),Medellín,Antioquia,(604) 4423381,N/A,"Lacteos, Antioquia, Medellín",Lácteos
d73923cd-9711-459d-881f-8d438831fea6,El Cacique,42575792,Quesería,"4,3",(111),Medellín,Antioquia,42575792,N/A,"Lacteos, Antioquia, Medellín",Otros
22342106-f838-44ad-99ea-8b07d6f651c9,DISTRIBUIDORA DE QUESOS LA 65,43618384,Quesería,"4,2",(52),Medellín,Antioquia,43618384,N/A,"Lacteos, Antioquia, Medellín",Otros
cee0f6a2-1145-4b5a-823c-5df3481c93f8,Lácteos y Congelados Ideal S.A.S,4445825,N/A,"5,0",(1),Medellín,Antioquia,4445825,N/A,"Lacteos, Antioquia, Medellín",Lácteos
d8bed449-d65c-4f7d-b9cd-4ad9272eb71e,Parmalat-Proleche,Cl. 72 #64-105,Explotación lechera,"4,5",(244),Medellín,Antioquia,4412121,N/A,"Lacteos, Antioquia, Medellín",Otros
6fafc743-9789-465c-81a0-630a33108648,Lácteos El Galán,Cra. 65,Proveedor de lácteos,"4,1",(21),Medellín,Antioquia,(604) 3221400,N/A,"Lacteos, Antioquia, Medellín",Lácteos
2935254a-7f60-4681-a417-2152282a2fa8,Lácteos el corral campesino,314 8213338,N/A,"3,7",(13),Medellín,Antioquia,314 8213338,N/A,"Lacteos, Antioquia, Medellín",Lácteos
fe106339-13fd-421f-8711-473a8639c2c4,Cárnicos y lácteos Carlos E. Restrepo,Cl. 53A #64 A - 11,Supermercado,"4,3",(56),Medellín,Antioquia,42305628,N/A,"Lacteos, Antioquia, Medellín",Lácteos
62227092-92a8-4618-a67f-4728d0301bb7,Antioqueña De Quesos,324 7804513,Quesería,"4,8",(17),Medellín,Antioquia,324 7804513,N/A,"Lacteos, Antioquia, Medellín",Otros
56f9e580-a376-4424-a3a6-57b4e0536442,Antioqueña de Quesos S.A.S,San Antionio de Prado-Heliconia,Quesería,"4,4",(323),Medellín,Antioquia,(604) 2862694,N/A,"Lacteos, Antioquia, Medellín",Otros
03886621-e744-4196-b0be-b2366119abe9,Mamita rosa,Comercio,N/A,"4,0",(8),Medellín,Antioquia,43669614,N/A,"Lacteos, Antioquia, Medellín",Otros
